pincode,district,soil_type
515001,Anantapur,Red Soil
517001,Chittoor,Red Sandy Loams
533352,East Godavari,Alluvial Soil
522002,Guntur,Black Cotton Soil
521324,Krishna,Black Soil
521329,Krishna,Black Soil
521390,Krishna,Black Soil
518001,Kurnool,Black Cotton Soil / Red Sandy Loams
524001,Nellore,Red Sandy Loams / Black Cotton / Coastal Alluvial / Laterite Soil
532001,Prakasam,Black Cotton Soil / Red Sandy Loams
523372,Srikakulam,Red & Black Mixed Soil
530001,Visakhapatnam,Red Loamy Soil
535001,Vizianagaram,Red Sandy Loams / Clay Loams
535003,Vizianagaram,Red Sandy Loams / Clay Loams
534201,West Godavari,Alluvial / Deltaic Soil
